Pollinators of Apocynaceae Database,,,,,,,,,,
,,,,,,,,,,
Observations in the database,5061,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Clade number,Subfamily,Tribe,Subtribe,Species,Country,Pollinators/Flower visitors,Higher taxon,Code,Reference,Name used in original publication
1,Rauvolfioids,Alstonieae,,Alstonia actinophylla ,Australia,Pteropus scapulatus,Mammalia: Pteropodidae,4,Mickelburgh et al.1992,
1,Rauvolfioids,Alstonieae,,Alstonia boonei,Ivory Coast,Apis mellifera ,Hymenoptera: Apidae,2,Albers & Van der Maesen 1994,
1,Rauvolfioids,Alstonieae,,Alstonia boonei,Ivory Coast,Hypolimnus missipus ,Nymphalidae,2,Albers & Van der Maesen 1994,
1,Rauvolfioids,Alstonieae,,Alstonia boonei,Ivory Coast,Eumenidae ,Hymenoptera: Vespoideae,3,Albers & Van der Maesen 1994,
1,Rauvolfioids,Alstonieae,,Alstonia boonei,Ivory Coast,Acraea circeis ,Lepidoptera: Nymphalidae,3,Albers & Van der Maesen 1994,
1,Rauvolfioids,Alstonieae,,Alstonia boonei,Ivory Coast,Lycidae ,Coleoptera,3,Albers & Van der Maesen 1994,
1,Rauvolfioids,Alstonieae,,Alstonia costata,New Caledonia,Moth pollinated,Lepidoptera,2,Kato & Kawakita 2004,Alstonia plumosa var. communis
1,Rauvolfioids,Alstonieae,,Alstonia macrophylla,Seychelles,Forcipomyia (Euprojoannisia) sp1,Diptera: Ceratopogonidae,3B,Kaiser-Bunbury et al. 2017,
1,Rauvolfioids,Alstonieae,,Alstonia macrophylla,Seychelles,Chrysomya megacephala,Diptera: Calliphoridae,3B,Kaiser-Bunbury et al. 2017,
1,Rauvolfioids,Alstonieae,,Alstonia macrophylla,Seychelles,Apis mellifera,Hymenoptera: Apidae,3B,Kaiser-Bunbury et al. 2017,
1,Rauvolfioids,Alstonieae,,Alstonia macrophylla,Seychelles,Delta alluaudi,Hymenoptera: Vespidae,3B,Kaiser-Bunbury et al. 2017,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Papilio clytia,Lepidoptera: Papilionidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Phaedyma columella,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Euploea core,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Delias hyparete,Lepidoptera: Pieridae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Rapala spp.,Lepidoptera: Lycaenidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Delias descombesi,Lepidoptera: Pieridae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Danaus genutia,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Papilio polytes, Lepidoptera: Papilionidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Junonia atlites,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Catopsilia pomona,Lepidoptera: Pieridae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Vagrans egista,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Phalanta phalantha,Lepidoptera: Nymphalidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Delias pasithoe,Lepidoptera: Pieridae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Appias lalage, Lepidoptera: Pieridae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,India,Jamides bochus,Lepidoptera: Lycaenidae,2,Sarkar 2018,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,Laos,unidentified,Lepidoptera: Danaidae,2,Kato et al. 2008,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,Laos,unidentified,Lepidoptera: Pieridae,2,Kato et al. 2008,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,Laos,Apis florea,Hymenoptera: Apidae,3,Kato et al. 2008,
1,Rauvolfioids,Alstonieae,,Alstonia scholaris,Laos,unidentified,Coleoptera: Dermestidae,3,Kato et al. 2008,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Bombus diversus diversus,Hymenoptera: Apidae,2,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Anthophora plumipes,Hymenoptera: Apidae,2,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,"""butterflies""",Lepidoptera,2,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Anthophora plumipes,Hymenoptera: Apidae,2,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,small-sized bees,Hymenoptera,2,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,syrphid flies,Diptera: syrphidae,3,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,flies other than syrphid flies,Diptera,3,Ushimaru unpublished data - botanic garden within natural range of plant,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Bombus ardens ardens male,Hymenoptera: Apidae,3,N. Matsuoka unpublished data,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Bombus ignitus,Hymenoptera: Apidae,3,N. Matsuoka unpublished data,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Anthophorinae bees,Hymenoptera: Apidae,3,N. Matsuoka unpublished data,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Lycaena phlaeas daimio,Lepidoptera: Lycaenidae,3,N. Matsuoka unpublished data,
1,Rauvolfioids,Amsonieae,,Amsonia elliptica,Japan,Eurema mandarina,Lepidoptera,3,N. Matsuoka unpublished data,
1,Rauvolfioids,Amsonieae,,Amsonia tabernaemontana,North America,Xylocopa virginica ,Hymenoptera: Apidae,3,Scotti 1911,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma australe,Brazil,Zoophily,,1,Silva 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma australe,Brazil,Zoophily,,1,Rebelo 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cuspa,Brazil,Moth,Lepidoptera,3,Borges 2011,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cuspa ,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cuspa ,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,Moth,Lepidoptera,3,"Morellato 1991, unpublished",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,insects,,1,Simões 2016,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,Insects,,1,Simões 2016,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma cylindrocarpon,Brazil,Moth,Lepidoptera,3,Borges 2011,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma discolor ,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma discolor ,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Hymenomima cogitaria,Lepidoptera: Geometridae,1,Oliveira et al. 2004,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Epidromia zetophora,Lepidoptera: Noctuidae,1,Oliveira et al. 2004,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Melipotis fasciolaris,Lepidoptera: Noctuidae,1,Oliveira et al. 2004,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Sameodes cf. plyllisalis,Lepidoptera: Noctuidae,1,Oliveira et al. 2004,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon ,Brazil,Bees,Hymenoptera: Apidae,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon ,Brazil,Phalaenophily,Lepidoptera,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon ,Brazil,Bees,Hymenoptera: Apidae,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma macrocarpon ,Brazil,Phalaenophily,Lepidoptera,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma multiflorum,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma multiflorum,Brazil,Entomophily,,1,Cavallin 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma nobile ,Brazil,Phalaenophily,Lepidoptera,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma nobile ,Brazil,Phalaenophily,Lepidoptera,1,Reis et al. 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Erinnyis ello,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Xylophanes titana,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Xylophanes chiron,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Eumorpha translineatus,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Manduca Braziliensis,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Erinnyis alope,Lepidoptera: Sphingidae,2,"Amorim 2012, Sazatornil et al. 2016",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma olivaceum,Brazil,Zoophily,,1,Bosa 2011,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,Zoophily,,1,Silva 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,Trigonini,Hymenoptera: Apidae: Meliponini,3,Silva 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,Ants,Hymenoptera,3,Silva 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,Bees,Hymenoptera: Apidae,3,Silva 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Emerich 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Guislon 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Souza 2015,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Stupp 2012,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Emerich 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Guislon 2014,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Souza 2015,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Stupp 2012,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Colonetti 2008,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Martins 2005,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Plano de Manejo 2011,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma parvifolium ,Brazil,?,Zoophily,1,Rebelo 2006,
